col1,col2,all_age,ag00,ag01,ag02,ag03,ag04,ag0004,ag0509,ag1014,ag1519,ag2024,ag2529,ag3034,ag3539,ag4044,ag4549,ag5054,ag5559,ag6064,ag6569,ag7074,ag7579,ag8084,ag8589,ag9094,ag9599,ag100,unknown
c_all,_total,1372755,1512,192,112,89,74,1979,306,426,1262,2180,2248,2902,4396,7678,14111,19812,27521,40514,72970,124099,162136,216526,276507,245216,119379,30149,438
c_all,_male,706834,800,114,72,45,44,1075,151,246,816,1485,1491,1961,2763,4820,8894,12687,18494,28046,50969,84888,104378,125875,135859,89912,27471,4218,335
c_all,_female,665921,712,78,40,44,30,904,155,180,446,695,757,941,1633,2858,5217,7125,9027,12468,22001,39211,57758,90651,140648,155304,91908,25931,103
c01000,_total,22129,32,10,6,5,7,60,8,3,8,10,18,23,35,88,135,226,330,533,1135,1967,2858,4163,5028,3873,1402,222,4
c01000,_male,10905,21,7,5,2,5,40,6,3,5,7,10,19,23,59,93,158,232,372,740,1223,1635,2181,2258,1434,369,34,4
c01000,_female,11224,11,3,1,3,2,20,2,0,3,3,8,4,12,29,42,68,98,161,395,744,1223,1982,2770,2439,1033,188,0
c02000,_total,391545,19,18,14,19,15,85,87,89,118,168,252,524,1050,2205,4651,7428,11685,18592,35002,57224,64457,68567,66127,39831,11864,1515,24
c02000,_male,228047,7,12,7,11,7,44,42,46,73,104,145,247,428,895,2004,3515,6382,11454,23067,38123,42091,41697,35807,17730,3817,316,20
c02000,_female,163498,12,6,7,8,8,41,45,43,45,64,107,277,622,1310,2647,3913,5303,7138,11935,19101,22366,26870,30320,22101,8047,1199,4
c03000,_total,4296,16,3,2,1,1,23,2,0,5,12,9,11,12,19,34,49,64,88,184,377,530,764,964,786,298,65,0
c03000,_male,1905,11,3,1,0,1,16,0,0,1,9,4,7,7,8,16,24,43,53,98,220,296,377,394,250,70,12,0
c03000,_female,2391,5,0,1,1,0,7,2,0,4,3,5,4,5,11,18,25,21,35,86,157,234,387,570,536,228,53,0
c04000,_total,22457,13,5,0,1,2,21,4,7,11,23,30,52,94,143,321,387,576,810,1342,2283,2813,3735,4499,3533,1467,298,8
c04000,_male,11809,9,3,0,1,0,13,2,5,5,15,17,32,53,89,239,281,444,604,961,1631,1778,2108,2085,1117,299,25,6
c04000,_female,10648,4,2,0,0,2,8,2,2,6,8,13,20,41,54,82,106,132,206,381,652,1035,1627,2414,2416,1168,273,2
c05000,_total,23115,0,0,0,0,0,0,0,0,6,7,8,17,28,44,93,88,143,209,429,861,1657,3204,5748,6189,3477,904,3
c05000,_male,8864,0,0,0,0,0,0,0,0,2,0,3,8,12,21,49,60,98,160,285,608,1029,1634,2376,1828,613,77,1
c05000,_female,14251,0,0,0,0,0,0,0,0,4,7,5,9,16,23,44,28,45,49,144,253,628,1570,3372,4361,2864,827,2
c06000,_total,51265,21,20,11,7,8,67,27,30,60,65,71,101,119,176,300,440,604,1018,2167,4212,6839,9862,11823,8845,3802,634,3
c06000,_male,23735,16,13,6,3,4,42,13,17,34,44,42,60,77,104,201,278,387,642,1373,2575,3965,5284,5244,2625,656,70,2
c06000,_female,27530,5,7,5,4,4,25,14,13,26,21,29,41,42,72,99,162,217,376,794,1637,2874,4578,6579,6220,3146,564,1
c07000,_total,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,1,1,0,0,0
c07000,_male,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
c07000,_female,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
